id,name,type,length,cell
1,1,AP,0.000000,
2,2,DRIFT,4.380000,
3,3,BPM,0.000000,1
4,4,DRIFT,1.288300,
5,5,QUAD,0.406400,1
6,6,DRIFT,0.146800,
7,7,DRIFT,0.005000,
8,8,SEXT,0.290000,1
9,9,DRIFT,0.005000,
10,10,DRIFT,0.231850,
11,11,QUAD,0.606300,1
12,12,DRIFT,0.458350,
13,13,QUAD,0.307000,1
14,14,DRIFT,0.196500,
15,15,DRIFT,0.005000,
16,16,SEXT,0.290000,1
17,17,DRIFT,0.005000,
18,18,DRIFT,0.185000,
19,19,BPM,0.000000,1
20,20,DRIFT,0.484000,
21,21,BEND,0.933000,1
22,22,DRIFT,0.585800,
23,23,QUAD,0.406400,1
24,24,DRIFT,0.158300,
25,25,BPM,0.000000,1
26,26,DRIFT,0.263500,
27,27,DRIFT,0.005000,
28,28,SEXT,0.190000,1
29,29,DRIFT,0.005000,
30,30,DRIFT,0.195200,
31,31,QUAD,0.407600,1
32,32,DRIFT,0.118700,
33,33,BPM,0.000000,1
34,34,DRIFT,0.116000,
35,35,DRIFT,0.005000,
36,36,SEXT,0.290000,1
37,37,DRIFT,0.005000,
38,38,DRIFT,0.234700,
39,39,QUAD,0.407600,1
40,40,DRIFT,0.195200,
41,41,DRIFT,0.005000,
42,42,SEXT,0.190000,1
43,43,DRIFT,0.005000,
44,44,DRIFT,0.421800,
45,45,QUAD,0.406400,1
46,46,DRIFT,0.101800,
47,47,BPM,0.000000,1
48,48,DRIFT,0.484000,
49,49,BEND,0.933000,1
50,50,DRIFT,0.669000,
51,51,DRIFT,0.005000,
52,52,SEXT,0.290000,1
53,53,DRIFT,0.005000,
54,54,DRIFT,0.196500,
55,55,QUAD,0.307000,1
56,56,DRIFT,0.173000,
57,57,BPM,0.000000,1
58,58,DRIFT,0.285350,
59,59,QUAD,0.606300,1
60,60,DRIFT,0.231850,
61,61,DRIFT,0.005000,
62,62,SEXT,0.290000,1
63,63,DRIFT,0.005000,
64,64,DRIFT,0.146800,
65,65,QUAD,0.406400,1
66,66,DRIFT,1.288300,
67,67,BPM,0.000000,1
68,68,DRIFT,0.002500,
69,69,DRIFT,1.219500,
70,70,DRIFT,0.050000,
71,71,HCHICA,0.000000,
72,72,DRIFT,0.050000,
73,73,DRIFT,0.280500,
74,74,DRIFT,0.150000,
75,75,HTRIM,0.000000,2
76,76,VTRIM,0.000000,2
77,77,DRIFT,0.150000,
78,78,DRIFT,0.977500,
79,79,source,0.000000,
80,80,DRIFT,0.977500,
81,81,DRIFT,0.150000,
82,82,HTRIM,0.000000,2
83,83,VTRIM,0.000000,2
84,84,DRIFT,0.150000,
85,85,DRIFT,0.054000,
86,86,DRIFT,0.050000,
87,87,HCHICA,0.000000,
88,88,DRIFT,0.050000,
89,89,DRIFT,0.907000,
90,90,DRIFT,0.050000,
91,91,HCHICA,0.000000,
92,92,DRIFT,0.050000,
93,93,DRIFT,0.339000,
94,94,DRIFT,0.002500,
95,95,BPM,0.000000,2
96,96,DRIFT,0.366820,
97,97,DRIFT,0.126181,
98,98,DRIFT,0.050000,
99,99,QUAD,0.250000,2
100,100,DRIFT,0.112500,
101,101,SEXT,0.175000,2
102,102,DRIFT,0.172500,
103,103,QUAD,0.250000,2
104,104,DRIFT,0.069280,
105,105,DRIFT,0.100000,
106,106,DRIFT,0.075000,
107,107,SEXT,0.175000,2
108,108,DRIFT,0.075000,
109,109,DRIFT,0.100000,
110,110,DRIFT,0.112500,
111,111,BEND,0.670431,2
112,112,DRIFT,0.185194,
113,113,DRIFT,0.033729,
114,114,DRIFT,0.025411,
115,115,DRIFT,0.247889,
116,116,DRIFT,0.003000,
117,117,DRIFT,0.055324,
118,118,BPM,0.000000,2
119,119,DRIFT,0.055173,
120,120,SEXT,0.175000,2
121,121,DRIFT,0.088380,
122,122,QUAD,0.250000,2
123,123,DRIFT,0.031123,
124,124,DRIFT,0.003000,
125,125,DRIFT,0.115877,
126,126,SEXT,0.175000,2
127,127,DRIFT,0.150000,
128,128,QUAD,0.250000,2
129,129,DRIFT,0.088380,
130,130,SEXT,0.175000,2
131,131,DRIFT,0.042543,
132,132,DRIFT,0.003000,
133,133,DRIFT,0.112894,
134,134,BPM,0.000000,2
135,135,DRIFT,0.229063,
136,136,BEND,0.966928,2
137,137,DRIFT,0.068240,
138,138,DRIFT,0.073540,
139,139,HSTR,0.000000,
140,140,VSTR,0.000000,
141,141,DRIFT,0.096600,
142,142,QUAD,0.250000,2
143,143,DRIFT,0.000010,
144,144,DRIFT,0.000000,
145,145,DRIFT,0.011240,
146,146,DRIFT,0.206000,
147,147,BPM,0.000000,2
148,148,DRIFT,0.114000,
149,149,DRIFT,0.368750,
150,150,DRIFT,1.000000,
151,151,source,0.000000,
152,152,DRIFT,1.000000,
153,153,DRIFT,0.375420,
154,154,DRIFT,0.107330,
155,155,BPM,0.000000,2
156,156,DRIFT,0.217250,
157,157,QUAD,0.250000,2
158,158,DRIFT,0.096600,
159,159,HSTR,0.000000,
160,160,VSTR,0.000000,
161,161,DRIFT,0.036080,
162,162,DRIFT,0.003000,
163,163,DRIFT,0.102700,
164,164,BEND,0.966928,2
165,165,DRIFT,0.037500,
166,166,DRIFT,0.141042,
167,167,DRIFT,0.033728,
168,168,DRIFT,0.024583,
169,169,DRIFT,0.038147,
170,170,DRIFT,0.112500,
171,171,SEXT,0.175000,2
172,172,DRIFT,0.088380,
173,173,QUAD,0.250000,2
174,174,DRIFT,0.020890,
175,175,DRIFT,0.003000,
176,176,DRIFT,0.075286,
177,177,BPM,0.000000,2
178,178,DRIFT,0.050824,
179,179,SEXT,0.175000,2
180,180,DRIFT,0.150000,
181,181,QUAD,0.250000,2
182,182,DRIFT,0.088380,
183,183,SEXT,0.175000,2
184,184,DRIFT,0.269070,
185,185,DRIFT,0.003000,
186,186,DRIFT,0.103390,
187,187,BPM,0.000000,2
188,188,DRIFT,0.230260,
189,189,BEND,0.670431,2
190,190,DRIFT,0.112500,
191,191,DRIFT,0.050309,
192,192,DRIFT,0.049691,
193,193,DRIFT,0.075000,
194,194,SEXT,0.175000,2
195,195,DRIFT,0.075000,
196,196,DRIFT,0.100000,
197,197,DRIFT,0.069280,
198,198,QUAD,0.250000,2
199,199,DRIFT,0.000559,
200,200,DRIFT,0.003000,
201,201,DRIFT,0.168941,
202,202,SEXT,0.175000,2
203,203,DRIFT,0.112500,
204,204,QUAD,0.250000,2
205,205,DRIFT,0.061559,
206,206,DRIFT,0.003000,
207,207,DRIFT,0.113000,
208,208,DRIFT,0.048442,
209,209,DRIFT,0.086001,
210,210,DRIFT,0.130999,
211,211,DRIFT,0.100000,
212,212,BPM,0.000000,2
213,213,DRIFT,0.002500,
214,214,DRIFT,1.119500,
215,215,DRIFT,0.050000,
216,216,HCHICA,0.000000,
217,217,DRIFT,0.050000,
218,218,DRIFT,0.281500,
219,219,DRIFT,0.150000,
220,220,HTRIM,0.000000,2
221,221,VTRIM,0.000000,2
222,222,DRIFT,0.150000,
223,223,DRIFT,0.976500,
224,224,source,0.000000,
225,225,DRIFT,0.976500,
226,226,DRIFT,0.150000,
227,227,HTRIM,0.000000,2
228,228,VTRIM,0.000000,2
229,229,DRIFT,0.150000,
230,230,DRIFT,0.055000,
231,231,DRIFT,0.050000,
232,232,HCHICA,0.000000,
233,233,DRIFT,0.050000,
234,234,DRIFT,0.907000,
235,235,DRIFT,0.050000,
236,236,HCHICA,0.000000,
237,237,DRIFT,0.050000,
238,238,DRIFT,0.439000,
239,239,DRIFT,0.002500,
240,240,BPM,0.000000,3
241,241,DRIFT,1.288300,
242,242,QUAD,0.406400,3
243,243,DRIFT,0.146800,
244,244,DRIFT,0.005000,
245,245,SEXT,0.290000,3
246,246,DRIFT,0.005000,
247,247,DRIFT,0.231850,
248,248,QUAD,0.606300,3
249,249,DRIFT,0.458350,
250,250,QUAD,0.307000,3
251,251,DRIFT,0.196500,
252,252,DRIFT,0.005000,
253,253,SEXT,0.290000,3
254,254,DRIFT,0.005000,
255,255,DRIFT,0.185000,
