id,name,type,length
1,1,AP,0.000000
2,2,DRIFT,4.380000
3,3,BPM,0.000000
4,4,DRIFT,1.288300
5,5,QUAD,0.406400
6,6,DRIFT,0.146800
7,7,DRIFT,0.005000
8,8,SEXT,0.290000
9,9,DRIFT,0.005000
10,10,DRIFT,0.231850
11,11,QUAD,0.606300
12,12,DRIFT,0.458350
13,13,QUAD,0.307000
14,14,DRIFT,0.196500
15,15,DRIFT,0.005000
16,16,SEXT,0.290000
17,17,DRIFT,0.005000
18,18,DRIFT,0.185000
19,19,BPM,0.000000
20,20,DRIFT,0.484000
21,21,BEND,0.933000
22,22,DRIFT,0.585800
23,23,QUAD,0.406400
24,24,DRIFT,0.158300
25,25,BPM,0.000000
26,26,DRIFT,0.263500
27,27,DRIFT,0.005000
28,28,SEXT,0.190000
29,29,DRIFT,0.005000
30,30,DRIFT,0.195200
31,31,QUAD,0.407600
32,32,DRIFT,0.118700
33,33,BPM,0.000000
34,34,DRIFT,0.116000
35,35,DRIFT,0.005000
36,36,SEXT,0.290000
37,37,DRIFT,0.005000
38,38,DRIFT,0.234700
39,39,QUAD,0.407600
40,40,DRIFT,0.195200
41,41,DRIFT,0.005000
42,42,SEXT,0.190000
43,43,DRIFT,0.005000
44,44,DRIFT,0.421800
45,45,QUAD,0.406400
46,46,DRIFT,0.101800
47,47,BPM,0.000000
48,48,DRIFT,0.484000
49,49,BEND,0.933000
50,50,DRIFT,0.669000
51,51,DRIFT,0.005000
52,52,SEXT,0.290000
53,53,DRIFT,0.005000
54,54,DRIFT,0.196500
55,55,QUAD,0.307000
56,56,DRIFT,0.173000
57,57,BPM,0.000000
58,58,DRIFT,0.285350
59,59,QUAD,0.606300
60,60,DRIFT,0.231850
61,61,DRIFT,0.005000
62,62,SEXT,0.290000
63,63,DRIFT,0.005000
64,64,DRIFT,0.146800
65,65,QUAD,0.406400
66,66,DRIFT,1.288300
67,67,BPM,0.000000
68,68,DRIFT,0.002500
69,69,DRIFT,1.219500
70,70,DRIFT,0.050000
71,71,HCHICA,0.000000
72,72,DRIFT,0.050000
73,73,DRIFT,0.280500
74,74,DRIFT,0.150000
75,75,HTRIM,0.000000
76,76,VTRIM,0.000000
77,77,DRIFT,0.150000
78,78,DRIFT,0.977500
79,79,source,0.000000
80,80,DRIFT,0.977500
81,81,DRIFT,0.150000
82,82,HTRIM,0.000000
83,83,VTRIM,0.000000
84,84,DRIFT,0.150000
85,85,DRIFT,0.054000
86,86,DRIFT,0.050000
87,87,HCHICA,0.000000
88,88,DRIFT,0.050000
89,89,DRIFT,0.907000
90,90,DRIFT,0.050000
91,91,HCHICA,0.000000
92,92,DRIFT,0.050000
93,93,DRIFT,0.339000
94,94,DRIFT,0.002500
95,95,BPM,0.000000
96,96,DRIFT,0.366820
97,97,DRIFT,0.126181
98,98,DRIFT,0.050000
99,99,QUAD,0.250000
100,100,DRIFT,0.112500
101,101,SEXT,0.175000
102,102,DRIFT,0.172500
103,103,QUAD,0.250000
104,104,DRIFT,0.069280
105,105,DRIFT,0.100000
106,106,DRIFT,0.075000
107,107,SEXT,0.175000
108,108,DRIFT,0.075000
109,109,DRIFT,0.100000
110,110,DRIFT,0.112500
111,111,BEND,0.670431
112,112,DRIFT,0.185194
113,113,DRIFT,0.033729
114,114,DRIFT,0.025411
115,115,DRIFT,0.247889
116,116,DRIFT,0.003000
117,117,DRIFT,0.055324
118,118,BPM,0.000000
119,119,DRIFT,0.055173
120,120,SEXT,0.175000
121,121,DRIFT,0.088380
122,122,QUAD,0.250000
123,123,DRIFT,0.031123
124,124,DRIFT,0.003000
125,125,DRIFT,0.115877
126,126,SEXT,0.175000
127,127,DRIFT,0.150000
128,128,QUAD,0.250000
129,129,DRIFT,0.088380
130,130,SEXT,0.175000
131,131,DRIFT,0.042543
132,132,DRIFT,0.003000
133,133,DRIFT,0.112894
134,134,BPM,0.000000
135,135,DRIFT,0.229063
136,136,BEND,0.966928
137,137,DRIFT,0.068240
138,138,DRIFT,0.073540
139,139,DRIFT,0.096600
140,140,QUAD,0.250000
141,141,DRIFT,0.000010
142,142,DRIFT,0.000000
143,143,DRIFT,0.011240
144,144,DRIFT,0.206000
145,145,BPM,0.000000
146,146,DRIFT,0.114000
147,147,DRIFT,0.368750
148,148,DRIFT,1.000000
149,149,source,0.000000
150,150,DRIFT,1.000000
151,151,DRIFT,0.375420
152,152,DRIFT,0.107330
153,153,BPM,0.000000
154,154,DRIFT,0.217250
155,155,QUAD,0.250000
156,156,DRIFT,0.096600
157,157,DRIFT,0.036080
158,158,DRIFT,0.003000
159,159,DRIFT,0.102700
160,160,BEND,0.966928
161,161,DRIFT,0.037500
162,162,DRIFT,0.141042
163,163,DRIFT,0.033728
164,164,DRIFT,0.024583
165,165,DRIFT,0.038147
166,166,DRIFT,0.112500
167,167,SEXT,0.175000
168,168,DRIFT,0.088380
169,169,QUAD,0.250000
170,170,DRIFT,0.020890
171,171,DRIFT,0.003000
172,172,DRIFT,0.075286
173,173,BPM,0.000000
174,174,DRIFT,0.050824
175,175,SEXT,0.175000
176,176,DRIFT,0.150000
177,177,QUAD,0.250000
178,178,DRIFT,0.088380
179,179,SEXT,0.175000
180,180,DRIFT,0.269070
181,181,DRIFT,0.003000
182,182,DRIFT,0.103390
183,183,BPM,0.000000
184,184,DRIFT,0.230260
185,185,BEND,0.670431
186,186,DRIFT,0.112500
187,187,DRIFT,0.050309
188,188,DRIFT,0.049691
189,189,DRIFT,0.075000
190,190,SEXT,0.175000
191,191,DRIFT,0.075000
192,192,DRIFT,0.100000
193,193,DRIFT,0.069280
194,194,QUAD,0.250000
195,195,DRIFT,0.000559
196,196,DRIFT,0.003000
197,197,DRIFT,0.168941
198,198,SEXT,0.175000
199,199,DRIFT,0.112500
200,200,QUAD,0.250000
201,201,DRIFT,0.061559
202,202,DRIFT,0.003000
203,203,DRIFT,0.113000
204,204,DRIFT,0.048442
205,205,DRIFT,0.086001
206,206,DRIFT,0.130999
207,207,DRIFT,0.100000
208,208,BPM,0.000000
209,209,DRIFT,0.002500
210,210,DRIFT,1.119500
211,211,DRIFT,0.050000
212,212,HCHICA,0.000000
213,213,DRIFT,0.050000
214,214,DRIFT,0.281500
215,215,DRIFT,0.150000
216,216,HTRIM,0.000000
217,217,VTRIM,0.000000
218,218,DRIFT,0.150000
219,219,DRIFT,0.976500
220,220,source,0.000000
221,221,DRIFT,0.976500
222,222,DRIFT,0.150000
223,223,HTRIM,0.000000
224,224,VTRIM,0.000000
225,225,DRIFT,0.150000
226,226,DRIFT,0.055000
227,227,DRIFT,0.050000
228,228,HCHICA,0.000000
229,229,DRIFT,0.050000
230,230,DRIFT,0.907000
231,231,DRIFT,0.050000
232,232,HCHICA,0.000000
233,233,DRIFT,0.050000
234,234,DRIFT,0.439000
235,235,DRIFT,0.002500
236,236,BPM,0.000000
237,237,DRIFT,1.288300
238,238,QUAD,0.406400
239,239,DRIFT,0.146800
240,240,DRIFT,0.005000
241,241,SEXT,0.290000
242,242,DRIFT,0.005000
243,243,DRIFT,0.231850
244,244,QUAD,0.606300
245,245,DRIFT,0.458350
246,246,QUAD,0.307000
247,247,DRIFT,0.196500
248,248,DRIFT,0.005000
249,249,SEXT,0.290000
250,250,DRIFT,0.005000
251,251,DRIFT,0.185000
252,252,BPM,0.000000
253,253,DRIFT,0.484000
254,254,BEND,0.933000
255,255,DRIFT,0.585800
256,256,QUAD,0.406400
257,257,DRIFT,0.158300
258,258,BPM,0.000000
259,259,DRIFT,0.263500
260,260,DRIFT,0.005000
261,261,SEXT,0.190000
262,262,DRIFT,0.005000
263,263,DRIFT,0.195200
264,264,QUAD,0.407600
265,265,DRIFT,0.118700
266,266,BPM,0.000000
267,267,DRIFT,0.116000
268,268,DRIFT,0.005000
269,269,SEXT,0.290000
270,270,DRIFT,0.005000
271,271,DRIFT,0.234700
272,272,QUAD,0.407600
273,273,DRIFT,0.195200
274,274,DRIFT,0.005000
275,275,SEXT,0.190000
276,276,DRIFT,0.005000
277,277,DRIFT,0.421800
278,278,QUAD,0.406400
